bartoc,wikidata,wikipedia
http://bartoc.org/en/node/459,http://www.wikidata.org/entity/Q1502787,
http://bartoc.org/en/node/454,http://www.wikidata.org/entity/Q1823134,
http://bartoc.org/en/node/450,http://www.wikidata.org/entity/Q2026515,
http://bartoc.org/en/node/449,http://www.wikidata.org/entity/Q192093,
http://bartoc.org/en/node/447,http://www.wikidata.org/entity/Q50018,
http://bartoc.org/en/node/446,http://www.wikidata.org/entity/Q917426,
http://bartoc.org/en/node/445,http://www.wikidata.org/entity/Q1430635,
http://bartoc.org/en/node/444,http://www.wikidata.org/entity/Q1654169,
http://bartoc.org/en/node/430,http://www.wikidata.org/entity/Q36578,
http://bartoc.org/en/node/415,http://www.wikidata.org/entity/Q5323361,https://en.wikipedia.org/wiki/EMBiology
http://bartoc.org/en/node/408,http://www.wikidata.org/entity/Q2976581,
http://bartoc.org/en/node/405,http://www.wikidata.org/entity/Q1317652,
http://bartoc.org/en/node/400,http://www.wikidata.org/entity/Q2300489,
http://bartoc.org/en/node/397,http://www.wikidata.org/entity/Q5058971,https://en.wikipedia.org/wiki/Census_in_Australia
http://bartoc.org/en/node/397,http://www.wikidata.org/entity/Q5058971,https://en.wikipedia.org/wiki/Census_in_Australia
http://bartoc.org/en/node/391,http://www.wikidata.org/entity/Q199897,
http://bartoc.org/en/node/384,http://www.wikidata.org/entity/Q5690673,
http://bartoc.org/en/node/380,http://www.wikidata.org/entity/Q1538807,
http://bartoc.org/en/node/364,http://www.wikidata.org/entity/Q4824846,
http://bartoc.org/en/node/364,http://www.wikidata.org/entity/Q4824846,
http://bartoc.org/en/node/364,http://www.wikidata.org/entity/Q4824846,
http://bartoc.org/en/node/361,http://www.wikidata.org/entity/Q5058971,https://en.wikipedia.org/wiki/Census_in_Australia
http://bartoc.org/en/node/339,http://www.wikidata.org/entity/Q899146,
http://bartoc.org/en/node/335,http://www.wikidata.org/entity/Q2377005,
http://bartoc.org/en/node/335,http://www.wikidata.org/entity/Q2377005,
http://bartoc.org/en/node/332,http://www.wikidata.org/entity/Q1500936,
http://bartoc.org/en/node/330,http://www.wikidata.org/entity/Q193988,
http://bartoc.org/en/node/326,http://www.wikidata.org/entity/Q967960,
http://bartoc.org/en/node/305,http://www.wikidata.org/entity/Q292649,
http://bartoc.org/en/node/297,http://www.wikidata.org/entity/Q5128393,
http://bartoc.org/en/node/296,http://www.wikidata.org/entity/Q3552180,
http://bartoc.org/en/node/296,http://www.wikidata.org/entity/Q3552180,
http://bartoc.org/en/node/295,http://www.wikidata.org/entity/Q2823703,https://fr.wikipedia.org/wiki/Action_sociale_en_France
http://bartoc.org/en/node/274,http://www.wikidata.org/entity/Q1666423,
http://bartoc.org/en/node/254,http://www.wikidata.org/entity/Q5610509,
http://bartoc.org/en/node/252,http://www.wikidata.org/entity/Q1065972,
http://bartoc.org/en/node/252,http://www.wikidata.org/entity/Q1065972,
http://bartoc.org/en/node/241,http://www.wikidata.org/entity/Q48460,
http://bartoc.org/en/node/239,http://www.wikidata.org/entity/Q1666934,
http://bartoc.org/en/node/236,http://www.wikidata.org/entity/Q1667852,
http://bartoc.org/en/node/228,http://www.wikidata.org/entity/Q4971877,
http://bartoc.org/en/node/227,http://www.wikidata.org/entity/Q5128413,
http://bartoc.org/en/node/224,http://www.wikidata.org/entity/Q131191,
http://bartoc.org/en/node/222,http://www.wikidata.org/entity/Q1053950,
http://bartoc.org/en/node/216,http://www.wikidata.org/entity/Q4866972,
http://bartoc.org/en/node/175,http://www.wikidata.org/entity/Q205801,
http://bartoc.org/en/node/172,http://www.wikidata.org/entity/Q7098917,
http://bartoc.org/en/node/168,http://www.wikidata.org/entity/Q731100,
http://bartoc.org/en/node/156,http://www.wikidata.org/entity/Q4914639,
http://bartoc.org/en/node/156,http://www.wikidata.org/entity/Q4914639,
http://bartoc.org/en/node/118,http://www.wikidata.org/entity/Q2494649,
http://bartoc.org/en/node/112,http://www.wikidata.org/entity/Q3527385,
http://bartoc.org/en/node/112,http://www.wikidata.org/entity/Q3527385,
http://bartoc.org/en/node/109,http://www.wikidata.org/entity/Q1520117,
http://bartoc.org/en/node/94,http://www.wikidata.org/entity/Q11409212,
http://bartoc.org/en/node/75,http://www.wikidata.org/entity/Q611299,
http://bartoc.org/en/node/75,http://www.wikidata.org/entity/Q611299,
http://bartoc.org/en/node/29,http://www.wikidata.org/entity/Q7227098,
http://bartoc.org/en/node/20,http://www.wikidata.org/entity/Q1520860,
http://bartoc.org/en/node/18,http://www.wikidata.org/entity/Q13421502,
http://bartoc.org/en/node/16,http://www.wikidata.org/entity/Q1485161,
http://bartoc.org/en/node/15,http://www.wikidata.org/entity/Q1370467,
http://bartoc.org/en/node/11,http://www.wikidata.org/entity/Q5030602,
